module	path	proposed_tier	confidence	source_markers	reusable_markers	public_declaration_count	direct_project_imports	required_action	proposed_canonical_family	cross_lane_dependency	rationale
NumStability.Algorithms.Cholesky.AasenFactorResidualCh11Closure	NumStability/Algorithms/Cholesky/AasenFactorResidualCh11Closure.lean	source	medium	name_locator=;name_process_word=Closure;located_declarations=0;declarations=19;doc_numbered_refs=2;doc_higham_refs=1;doc_book_refs=1;doc_display_refs=10;source_tier_imports=0	neutral_public_declarations=19;public_declarations=19;definitional_declarations=0;doc_generality_refs=2;reusable_tier_imports=1	19	1	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 0 of 19 public declarations carry a numbered locator or source process word; the numbered correspondence is carried by the module documentation and statement shapes rather than by declaration names. Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 3 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.AasenGrowthCh11Closure	NumStability/Algorithms/Cholesky/AasenGrowthCh11Closure.lean	source	high	name_locator=;name_process_word=Closure;located_declarations=4;declarations=9;doc_numbered_refs=2;doc_higham_refs=4;doc_book_refs=5;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=2;public_declarations=6;definitional_declarations=0;doc_generality_refs=1;reusable_tier_imports=1	6	1	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 4 of 6 public declarations carry a numbered locator or source process word (for example higham11_8_aasen_maxEntryNorm_T_le_printed_mul_maxEntryNorm). Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 4 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.AasenMiddleGEPPCh11Counterexample	NumStability/Algorithms/Cholesky/AasenMiddleGEPPCh11Counterexample.lean	source	medium	name_locator=;name_process_word=;located_declarations=4;declarations=36;doc_numbered_refs=4;doc_higham_refs=0;doc_book_refs=0;doc_display_refs=2;source_tier_imports=0	neutral_public_declarations=32;public_declarations=36;definitional_declarations=10;doc_generality_refs=3;reusable_tier_imports=2	36	2	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 4 of 36 public declarations carry a numbered locator or source process word (for example middleCoeffOneCounter_actual_aasen_inputs). Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.AasenOriginalCoordinateCorrectionCh11	NumStability/Algorithms/Cholesky/AasenOriginalCoordinateCorrectionCh11.lean	source	medium	name_locator=;name_process_word=;located_declarations=1;declarations=7;doc_numbered_refs=1;doc_higham_refs=1;doc_book_refs=3;doc_display_refs=2;source_tier_imports=0	neutral_public_declarations=6;public_declarations=7;definitional_declarations=3;doc_generality_refs=0;reusable_tier_imports=2	7	2	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 1 of 7 public declarations carry a numbered locator or source process word (for example higham11_8_aasen_backward_error_actual_dgttrs_original_corrected). Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.AasenPermutationSourceCorrectionCh11	NumStability/Algorithms/Cholesky/AasenPermutationSourceCorrectionCh11.lean	source	high	name_locator=;name_process_word=SourceCorrection;located_declarations=11;declarations=11;doc_numbered_refs=2;doc_higham_refs=0;doc_book_refs=3;doc_display_refs=3;source_tier_imports=0	neutral_public_declarations=0;public_declarations=4;definitional_declarations=8;doc_generality_refs=1;reusable_tier_imports=1	4	1	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 4 of 4 public declarations carry a numbered locator or source process word (for example higham11_15_aasenSolveChainCorrected). Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.AasenPrintedCoefficientAlgebraCh11Closure	NumStability/Algorithms/Cholesky/AasenPrintedCoefficientAlgebraCh11Closure.lean	source	medium	name_locator=;name_process_word=Printed;located_declarations=1;declarations=4;doc_numbered_refs=2;doc_higham_refs=1;doc_book_refs=7;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=3;public_declarations=4;definitional_declarations=0;doc_generality_refs=0;reusable_tier_imports=1	4	1	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 1 of 4 public declarations carry a numbered locator or source process word (for example factor_plus_chain_le_printed). Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.AasenSourceSharpFactorResidualCh11Closure	NumStability/Algorithms/Cholesky/AasenSourceSharpFactorResidualCh11Closure.lean	source	medium	name_locator=;name_process_word=Closure;located_declarations=0;declarations=24;doc_numbered_refs=1;doc_higham_refs=2;doc_book_refs=3;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=24;public_declarations=24;definitional_declarations=3;doc_generality_refs=0;reusable_tier_imports=1	24	1	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 0 of 24 public declarations carry a numbered locator or source process word; the numbered correspondence is carried by the module documentation and statement shapes rather than by declaration names. Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.AasenTheorem118ScalarEdgeCh11Discrepancy	NumStability/Algorithms/Cholesky/AasenTheorem118ScalarEdgeCh11Discrepancy.lean	source	medium	name_locator=;name_process_word=Discrepancy;located_declarations=3;declarations=10;doc_numbered_refs=2;doc_higham_refs=1;doc_book_refs=5;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=7;public_declarations=10;definitional_declarations=5;doc_generality_refs=0;reusable_tier_imports=1	10	1	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 3 of 10 public declarations carry a numbered locator or source process word (for example higham11_8_printed_norm_clause_false_at_n_one). Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.AasenTridiagGEPPCh11Closure	NumStability/Algorithms/Cholesky/AasenTridiagGEPPCh11Closure.lean	source	medium	name_locator=;name_process_word=Closure;located_declarations=0;declarations=10;doc_numbered_refs=6;doc_higham_refs=5;doc_book_refs=5;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=8;public_declarations=8;definitional_declarations=1;doc_generality_refs=3;reusable_tier_imports=2	8	2	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 0 of 8 public declarations carry a numbered locator or source process word; the numbered correspondence is carried by the module documentation and statement shapes rather than by declaration names. Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.AasenUnitOuterSolveCh11Closure	NumStability/Algorithms/Cholesky/AasenUnitOuterSolveCh11Closure.lean	source	medium	name_locator=;name_process_word=Closure;located_declarations=2;declarations=14;doc_numbered_refs=0;doc_higham_refs=0;doc_book_refs=1;doc_display_refs=1;source_tier_imports=0	neutral_public_declarations=12;public_declarations=14;definitional_declarations=4;doc_generality_refs=0;reusable_tier_imports=1	14	1	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 2 of 14 public declarations carry a numbered locator or source process word (for example higham11_15_fl_aasen_unit_outer_triangular_solves_backward_error). Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.BlockLDLTAllOneByOnePrintedCh11Closure	NumStability/Algorithms/Cholesky/BlockLDLTAllOneByOnePrintedCh11Closure.lean	source	medium	name_locator=;name_process_word=Printed;located_declarations=2;declarations=22;doc_numbered_refs=3;doc_higham_refs=1;doc_book_refs=11;doc_display_refs=1;source_tier_imports=0	neutral_public_declarations=20;public_declarations=22;definitional_declarations=3;doc_generality_refs=0;reusable_tier_imports=1	22	1	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 2 of 22 public declarations carry a numbered locator or source process word (for example flAllOneByOne_envelope_le_printed). Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.BlockLDLTBunchTridiagonalCh11Closure	NumStability/Algorithms/Cholesky/BlockLDLTBunchTridiagonalCh11Closure.lean	source	medium	name_locator=;name_process_word=Closure;located_declarations=1;declarations=15;doc_numbered_refs=11;doc_higham_refs=8;doc_book_refs=6;doc_display_refs=8;source_tier_imports=0	neutral_public_declarations=14;public_declarations=15;definitional_declarations=0;doc_generality_refs=0;reusable_tier_imports=1	15	1	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 1 of 15 public declarations carry a numbered locator or source process word (for example higham11_7_bunch_tridiagonal_backward_error). Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 3 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.BlockLDLTMixedPivotCh11Closure	NumStability/Algorithms/Cholesky/BlockLDLTMixedPivotCh11Closure.lean	source	medium	name_locator=;name_process_word=Closure;located_declarations=2;declarations=80;doc_numbered_refs=3;doc_higham_refs=1;doc_book_refs=10;doc_display_refs=11;source_tier_imports=0	neutral_public_declarations=78;public_declarations=80;definitional_declarations=16;doc_generality_refs=0;reusable_tier_imports=1	80	1	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 2 of 80 public declarations carry a numbered locator or source process word (for example flMixed_envelope_le_printed). Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 5 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.BlockLDLTSolveBackwardCh11Closure	NumStability/Algorithms/Cholesky/BlockLDLTSolveBackwardCh11Closure.lean	source	medium	name_locator=;name_process_word=Closure;located_declarations=11;declarations=40;doc_numbered_refs=13;doc_higham_refs=20;doc_book_refs=13;doc_display_refs=20;source_tier_imports=0	neutral_public_declarations=29;public_declarations=40;definitional_declarations=7;doc_generality_refs=3;reusable_tier_imports=1	40	1	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 11 of 40 public declarations carry a numbered locator or source process word (for example MixedMiddleSolveBlocks_of_higham115_blocks). Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 5 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.BunchKaufmanSolveCh11Closure	NumStability/Algorithms/Cholesky/BunchKaufmanSolveCh11Closure.lean	source	high	name_locator=;name_process_word=Closure;located_declarations=3;declarations=3;doc_numbered_refs=7;doc_higham_refs=11;doc_book_refs=8;doc_display_refs=2;source_tier_imports=0	neutral_public_declarations=0;public_declarations=3;definitional_declarations=1;doc_generality_refs=2;reusable_tier_imports=1	3	1	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 3 of 3 public declarations carry a numbered locator or source process word (for example higham11_4_qPoly). Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.BunchTridiagonalActualSolveCh11Closure	NumStability/Algorithms/Cholesky/BunchTridiagonalActualSolveCh11Closure.lean	source	medium	name_locator=;name_process_word=Actual;located_declarations=3;declarations=8;doc_numbered_refs=4;doc_higham_refs=4;doc_book_refs=1;doc_display_refs=3;source_tier_imports=0	neutral_public_declarations=5;public_declarations=8;definitional_declarations=3;doc_generality_refs=0;reusable_tier_imports=3	8	3	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 3 of 8 public declarations carry a numbered locator or source process word (for example flBunchTwoByTwoSolve_higham115). Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.BunchTridiagonalFactorBoundCh11Closure	NumStability/Algorithms/Cholesky/BunchTridiagonalFactorBoundCh11Closure.lean	source	medium	name_locator=;name_process_word=Closure;located_declarations=0;declarations=10;doc_numbered_refs=2;doc_higham_refs=1;doc_book_refs=1;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=8;public_declarations=8;definitional_declarations=0;doc_generality_refs=0;reusable_tier_imports=1	8	1	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 0 of 8 public declarations carry a numbered locator or source process word; the numbered correspondence is carried by the module documentation and statement shapes rather than by declaration names. Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 3 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.BunchTridiagonalGrowthCh11Closure	NumStability/Algorithms/Cholesky/BunchTridiagonalGrowthCh11Closure.lean	source	medium	name_locator=;name_process_word=Closure;located_declarations=0;declarations=7;doc_numbered_refs=3;doc_higham_refs=2;doc_book_refs=1;doc_display_refs=1;source_tier_imports=0	neutral_public_declarations=7;public_declarations=7;definitional_declarations=0;doc_generality_refs=0;reusable_tier_imports=1	7	1	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 0 of 7 public declarations carry a numbered locator or source process word; the numbered correspondence is carried by the module documentation and statement shapes rather than by declaration names. Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.BunchTridiagonalGrowthInvariantCh11Closure	NumStability/Algorithms/Cholesky/BunchTridiagonalGrowthInvariantCh11Closure.lean	source	medium	name_locator=;name_process_word=Closure;located_declarations=0;declarations=63;doc_numbered_refs=8;doc_higham_refs=3;doc_book_refs=2;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=63;public_declarations=63;definitional_declarations=10;doc_generality_refs=0;reusable_tier_imports=1	63	1	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 0 of 63 public declarations carry a numbered locator or source process word; the numbered correspondence is carried by the module documentation and statement shapes rather than by declaration names. Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 3 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.BunchTridiagonalHFactorCh11Closure	NumStability/Algorithms/Cholesky/BunchTridiagonalHFactorCh11Closure.lean	source	medium	name_locator=;name_process_word=Closure;located_declarations=1;declarations=30;doc_numbered_refs=6;doc_higham_refs=2;doc_book_refs=0;doc_display_refs=6;source_tier_imports=0	neutral_public_declarations=26;public_declarations=27;definitional_declarations=2;doc_generality_refs=0;reusable_tier_imports=1	27	1	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 1 of 27 public declarations carry a numbered locator or source process word (for example higham11_7_bunch_tridiagonal_backward_error_unconditional). Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 3 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.BunchTridiagonalSparseFactorCh11Closure	NumStability/Algorithms/Cholesky/BunchTridiagonalSparseFactorCh11Closure.lean	source	medium	name_locator=;name_process_word=Closure;located_declarations=0;declarations=30;doc_numbered_refs=2;doc_higham_refs=2;doc_book_refs=0;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=30;public_declarations=30;definitional_declarations=3;doc_generality_refs=2;reusable_tier_imports=2	30	2	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 0 of 30 public declarations carry a numbered locator or source process word; the numbered correspondence is carried by the module documentation and statement shapes rather than by declaration names. Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 3 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.BunchTridiagonalSparseSolveCh11Closure	NumStability/Algorithms/Cholesky/BunchTridiagonalSparseSolveCh11Closure.lean	source	medium	name_locator=;name_process_word=Closure;located_declarations=2;declarations=14;doc_numbered_refs=3;doc_higham_refs=2;doc_book_refs=0;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=12;public_declarations=14;definitional_declarations=4;doc_generality_refs=0;reusable_tier_imports=3	14	3	plan_source_extraction	NumStability.Source.Higham.Chapter11	CH11_BLOCKED_ON_CH09_INTEGRATION	Numbered Higham Chapter 11 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 2 of 14 public declarations carry a numbered locator or source process word (for example bunch_tridiagonal_sparse_actual_solve_chain). Proposed canonical destination NumStability.Source.Higham.Chapter11 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.CholeskyDemmel	NumStability/Algorithms/Cholesky/CholeskyDemmel.lean	reusable	high	name_locator=;name_process_word=;located_declarations=0;declarations=21;doc_numbered_refs=27;doc_higham_refs=13;doc_book_refs=0;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=21;public_declarations=21;definitional_declarations=2;doc_generality_refs=1;reusable_tier_imports=3	21	3	plan_reusable_relocation	NumStability.Algorithms.LinearSystems.Cholesky	none	Source-neutral reusable mathematics: 21 of 21 public declarations have source-neutral names, the documentation cites the source only as motivation for the model, and the transitive project-import closure contains no source or mixed module, so registering NumStability.Algorithms.LinearSystems.Cholesky as reusable cannot create a forbidden reusable-to-source edge; 3 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability/Algorithms/Cholesky/CholeskyFl.lean	reusable	high	name_locator=;name_process_word=;located_declarations=0;declarations=53;doc_numbered_refs=66;doc_higham_refs=17;doc_book_refs=6;doc_display_refs=11;source_tier_imports=0	neutral_public_declarations=44;public_declarations=44;definitional_declarations=5;doc_generality_refs=3;reusable_tier_imports=5	44	5	plan_reusable_relocation	NumStability.Algorithms.LinearSystems.Cholesky	none	Source-neutral reusable mathematics: 44 of 44 public declarations have source-neutral names, the documentation cites the source only as motivation for the model, and the transitive project-import closure contains no source or mixed module, so registering NumStability.Algorithms.LinearSystems.Cholesky as reusable cannot create a forbidden reusable-to-source edge; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability/Algorithms/Cholesky/CholeskyIndefinite.lean	reusable	medium	name_locator=;name_process_word=;located_declarations=13;declarations=125;doc_numbered_refs=28;doc_higham_refs=27;doc_book_refs=24;doc_display_refs=17;source_tier_imports=0	neutral_public_declarations=112;public_declarations=125;definitional_declarations=32;doc_generality_refs=5;reusable_tier_imports=3	125	3	plan_reusable_relocation	NumStability.Algorithms.LinearSystems.Cholesky	none	Source-neutral reusable mathematics: 112 of 125 public declarations have source-neutral names, the documentation cites the source only as motivation for the model, and the transitive project-import closure contains no source or mixed module, so registering NumStability.Algorithms.LinearSystems.Cholesky as reusable cannot create a forbidden reusable-to-source edge; 3 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.CholeskyNonsym	NumStability/Algorithms/Cholesky/CholeskyNonsym.lean	reusable	high	name_locator=;name_process_word=;located_declarations=0;declarations=19;doc_numbered_refs=2;doc_higham_refs=7;doc_book_refs=0;doc_display_refs=1;source_tier_imports=0	neutral_public_declarations=18;public_declarations=18;definitional_declarations=5;doc_generality_refs=1;reusable_tier_imports=4	18	4	plan_reusable_relocation	NumStability.Algorithms.LinearSystems.Cholesky	none	Source-neutral reusable mathematics: 18 of 18 public declarations have source-neutral names, the documentation cites the source only as motivation for the model, and the transitive project-import closure contains no source or mixed module, so registering NumStability.Algorithms.LinearSystems.Cholesky as reusable cannot create a forbidden reusable-to-source edge; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability/Algorithms/Cholesky/CholeskyPSD.lean	reusable	medium	name_locator=;name_process_word=;located_declarations=1;declarations=90;doc_numbered_refs=66;doc_higham_refs=13;doc_book_refs=3;doc_display_refs=26;source_tier_imports=0	neutral_public_declarations=85;public_declarations=86;definitional_declarations=16;doc_generality_refs=2;reusable_tier_imports=4	86	4	plan_reusable_relocation	NumStability.Algorithms.LinearSystems.Cholesky	none	Source-neutral reusable mathematics: 85 of 86 public declarations have source-neutral names, the documentation cites the source only as motivation for the model, and the transitive project-import closure contains no source or mixed module, so registering NumStability.Algorithms.LinearSystems.Cholesky as reusable cannot create a forbidden reusable-to-source edge; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.CholeskyPerturbation	NumStability/Algorithms/Cholesky/CholeskyPerturbation.lean	reusable	high	name_locator=;name_process_word=;located_declarations=0;declarations=43;doc_numbered_refs=21;doc_higham_refs=20;doc_book_refs=3;doc_display_refs=15;source_tier_imports=0	neutral_public_declarations=43;public_declarations=43;definitional_declarations=2;doc_generality_refs=1;reusable_tier_imports=5	43	5	plan_reusable_relocation	NumStability.Algorithms.LinearSystems.Cholesky	none	Source-neutral reusable mathematics: 43 of 43 public declarations have source-neutral names, the documentation cites the source only as motivation for the model, and the transitive project-import closure contains no source or mixed module, so registering NumStability.Algorithms.LinearSystems.Cholesky as reusable cannot create a forbidden reusable-to-source edge; 4 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.CholeskySolve	NumStability/Algorithms/Cholesky/CholeskySolve.lean	reusable	high	name_locator=;name_process_word=;located_declarations=0;declarations=3;doc_numbered_refs=6;doc_higham_refs=3;doc_book_refs=0;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=3;public_declarations=3;definitional_declarations=0;doc_generality_refs=0;reusable_tier_imports=6	3	6	plan_reusable_relocation	NumStability.Algorithms.LinearSystems.Cholesky	none	Source-neutral reusable mathematics: 3 of 3 public declarations have source-neutral names, the documentation cites the source only as motivation for the model, and the transitive project-import closure contains no source or mixed module, so registering NumStability.Algorithms.LinearSystems.Cholesky as reusable cannot create a forbidden reusable-to-source edge; 4 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability/Algorithms/Cholesky/CholeskySpec.lean	reusable	high	name_locator=;name_process_word=;located_declarations=0;declarations=17;doc_numbered_refs=13;doc_higham_refs=12;doc_book_refs=0;doc_display_refs=1;source_tier_imports=0	neutral_public_declarations=13;public_declarations=13;definitional_declarations=2;doc_generality_refs=0;reusable_tier_imports=4	13	4	plan_reusable_relocation	NumStability.Algorithms.LinearSystems.Cholesky	none	Source-neutral reusable mathematics: 13 of 13 public declarations have source-neutral names, the documentation cites the source only as motivation for the model, and the transitive project-import closure contains no source or mixed module, so registering NumStability.Algorithms.LinearSystems.Cholesky as reusable cannot create a forbidden reusable-to-source edge; 10 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.Higham1014Equation1022	NumStability/Algorithms/Cholesky/Higham1014Equation1022.lean	source	high	name_locator=Higham1014;name_process_word=;located_declarations=32;declarations=32;doc_numbered_refs=13;doc_higham_refs=3;doc_book_refs=1;doc_display_refs=10;source_tier_imports=0	neutral_public_declarations=0;public_declarations=29;definitional_declarations=10;doc_generality_refs=1;reusable_tier_imports=3	29	3	plan_source_extraction	NumStability.Source.Higham.Chapter10	none	Numbered Higham Chapter 10 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 29 of 29 public declarations carry a numbered locator or source process word (for example higham10_14_block11). Proposed canonical destination NumStability.Source.Higham.Chapter10 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.Higham1014SourceError	NumStability/Algorithms/Cholesky/Higham1014SourceError.lean	source	high	name_locator=Higham1014;name_process_word=;located_declarations=18;declarations=18;doc_numbered_refs=12;doc_higham_refs=2;doc_book_refs=7;doc_display_refs=21;source_tier_imports=0	neutral_public_declarations=0;public_declarations=10;definitional_declarations=4;doc_generality_refs=0;reusable_tier_imports=2	10	2	plan_source_extraction	NumStability.Source.Higham.Chapter10	none	Numbered Higham Chapter 10 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 10 of 10 public declarations carry a numbered locator or source process word (for example higham10_14_sourceTrailing). Proposed canonical destination NumStability.Source.Higham.Chapter10 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Cholesky.Higham1014SourceSuccess	NumStability/Algorithms/Cholesky/Higham1014SourceSuccess.lean	source	high	name_locator=Higham1014;name_process_word=;located_declarations=1;declarations=1;doc_numbered_refs=8;doc_higham_refs=1;doc_book_refs=1;doc_display_refs=3;source_tier_imports=1	neutral_public_declarations=0;public_declarations=1;definitional_declarations=0;doc_generality_refs=0;reusable_tier_imports=0	1	1	plan_source_extraction	NumStability.Source.Higham.Chapter10	none	Numbered Higham Chapter 10 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 1 of 1 public declarations carry a numbered locator or source process word (for example higham10_14_fl_cholesky_success_source). Proposed canonical destination NumStability.Source.Higham.Chapter10 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
